FIPS,CENSUS_2010_POP
21091,"8,565"
21093,"105,543"
21095,"29,278"
21097,"18,846"
21099,"18,199"
21101,"46,250"
21103,"15,416"
21105,"4,902"
21107,"46,920"
21109,"13,494"
21111,"741,096"
21113,"48,586"
21115,"23,356"
21117,"159,720"
21119,"16,346"
21121,"31,883"
21123,"14,193"
21125,"58,849"
21127,"15,860"
21129,"7,887"
21131,"11,310"
21133,"24,519"
21135,"13,870"
21137,"24,742"
21139,"9,519"
21141,"26,835"
21143,"8,314"
21145,"65,565"
21147,"18,306"
21149,"9,531"
21151,"82,916"
21153,"13,333"
21155,"19,820"
21157,"31,448"
21159,"12,929"
21161,"17,490"
21163,"28,602"
21165,"6,306"
21167,"21,331"
21169,"10,099"
21171,"10,963"
21173,"26,499"
21175,"13,923"
21177,"31,499"
21179,"43,437"
21181,"7,135"
21183,"23,842"
21185,"60,316"
21187,"10,841"
21189,"4,755"
21191,"14,877"
21193,"28,712"
21195,"65,024"
21197,"12,613"
21199,"63,063"
21201,"2,282"
21203,"17,056"
21205,"23,333"
21207,"17,565"
21209,"47,173"
21211,"42,074"
21213,"17,327"
21215,"17,061"
21217,"24,512"
21219,"12,460"
21221,"14,339"
21223,"8,809"
21225,"15,007"
21227,"113,792"
21229,"11,717"
21231,"20,813"
21233,"13,621"
21235,"35,637"
21237,"7,355"
21239,"24,939"
22001,"61,773"
22003,"25,764"
22005,"107,215"
22007,"23,421"
22009,"42,073"
22011,"35,654"
22013,"14,353"
22015,"116,979"
22017,"254,969"
22019,"192,768"
22021,"10,132"
22023,"6,839"
22025,"10,407"
22027,"17,195"
22029,"20,822"
22031,"26,656"
22033,"440,171"
22035,"7,759"
22037,"20,267"
22039,"33,984"
22041,"20,767"
22043,"22,309"
22045,"73,240"
22047,"33,387"
22049,"16,274"
22051,"432,552"
22053,"31,594"
22055,"221,578"
22057,"96,318"
22059,"14,890"
22061,"46,735"
22063,"128,026"
22065,"12,093"
22067,"27,979"
22069,"39,566"
22071,"343,829"
22073,"153,720"
22075,"23,042"
22077,"22,802"
22079,"131,613"
22081,"9,091"
22083,"20,725"
22085,"24,233"
22087,"35,897"
22089,"52,780"
22091,"11,203"
22093,"22,102"
22095,"45,924"
22097,"83,384"
22099,"52,160"
22101,"54,650"
22103,"233,740"
22105,"121,097"
22107,"5,252"
22109,"111,860"
22111,"22,721"
22113,"57,999"
22115,"52,334"
22117,"47,168"
22119,"41,207"
22121,"23,788"
22123,"11,604"
22125,"15,625"
22127,"15,313"
23001,"107,702"
23003,"71,870"
23005,"281,674"
23007,"30,768"
23009,"54,418"
23011,"122,151"
23013,"39,736"
23015,"34,457"
23017,"57,833"
23019,"153,923"
23021,"17,535"
23023,"35,293"
23025,"52,228"
23027,"38,786"
23029,"32,856"
23031,"197,131"
24001,"75,087"
24003,"537,656"
24005,"805,029"
24009,"88,737"
24011,"33,066"
24013,"167,134"
24015,"101,108"
24017,"146,551"
24019,"32,618"
24021,"233,385"
24023,"30,097"
24025,"244,826"
24027,"287,085"
24029,"20,197"
24031,"971,777"
24033,"863,420"
24035,"47,798"
24037,"105,151"
24039,"26,470"
24041,"37,782"
24043,"147,430"
24045,"98,733"
24047,"51,454"
24510,"620,961"
25001,"215,888"
25003,"131,219"
25005,"548,285"
25007,"16,535"
25009,"743,159"
25011,"71,372"
25013,"463,490"
25015,"158,080"
25017,"1,503,085"
25019,"10,172"
25021,"670,850"
25023,"494,919"
25025,"722,023"
25027,"798,552"
26001,"10,942"
26003,"9,601"
26005,"111,408"
26007,"29,598"
26009,"23,580"
26011,"15,899"
26013,"8,860"
26015,"59,173"
26017,"107,771"
26019,"17,525"
26021,"156,813"
26023,"45,248"
26025,"136,146"
26027,"52,293"
26029,"25,949"
26031,"26,152"
26033,"38,520"
26035,"30,926"
26037,"75,382"
26039,"14,074"
26041,"37,069"
26043,"26,168"
26045,"107,759"
26047,"32,694"
26049,"425,790"
26051,"25,692"
26053,"16,427"
26055,"86,986"
26057,"42,476"
26059,"46,688"
26061,"36,628"
26063,"33,118"
26065,"280,895"
26067,"63,905"
26069,"25,887"
26071,"11,817"
26073,"70,311"
26075,"160,248"
26077,"250,331"
26079,"17,153"
26081,"602,622"
26083,"2,156"
26085,"11,539"
26087,"88,319"
26089,"21,708"
26091,"99,892"
26093,"180,967"
26095,"6,631"
26097,"11,113"
26099,"840,978"
26101,"24,733"
26103,"67,077"
26105,"28,705"
26107,"42,798"
26109,"24,029"
26111,"83,629"
26113,"14,849"
26115,"152,021"
26117,"63,342"
26119,"9,765"
26121,"172,188"
26123,"48,460"
26125,"1,202,362"
26127,"26,570"
26129,"21,699"
26131,"6,780"
26133,"23,528"
26135,"8,640"
26137,"24,164"
26139,"263,801"
26141,"13,376"
26143,"24,449"
26145,"200,169"
26147,"163,040"
26149,"61,295"
26151,"43,114"
26153,"8,485"
26155,"70,648"
26157,"55,729"
26159,"76,258"
26161,"344,791"
26163,"1,820,584"
26165,"32,735"
27001,"16,202"
27003,"330,844"
27005,"32,504"
27007,"44,442"
27009,"38,451"
27011,"5,269"
27013,"64,013"
27015,"25,893"
27017,"35,386"
27019,"91,042"
27021,"28,567"
27023,"12,441"
27025,"53,887"
27027,"58,999"
27029,"8,695"
27031,"5,176"
27033,"11,687"
27035,"62,500"
27037,"398,552"
27039,"20,087"
27041,"36,009"
27043,"14,553"
27045,"20,866"
27047,"31,255"
27049,"46,183"
27051,"6,018"
27053,"1,152,425"
27055,"19,027"
27057,"20,428"
27059,"37,816"
27061,"45,058"
27063,"10,266"
27065,"16,239"
27067,"42,239"
27069,"4,552"
27071,"13,311"
27073,"7,259"
27075,"10,866"
27077,"4,045"
27079,"27,703"
27081,"5,896"
27083,"25,857"
27085,"36,651"
27087,"5,413"
27089,"9,439"
27091,"20,840"
27093,"23,300"
27095,"26,097"
27097,"33,198"
27099,"39,163"
27101,"8,725"
27103,"32,727"
27105,"21,378"
27107,"6,852"
27109,"144,248"
27111,"57,303"
27113,"13,930"
27115,"29,750"
27117,"9,596"
27119,"31,600"
27121,"10,995"
27123,"508,640"
27125,"4,089"
27127,"16,059"
27129,"15,730"
27131,"64,142"
27133,"9,687"
27135,"15,629"
27137,"200,226"
27139,"129,928"
27141,"88,499"
27143,"15,226"
27145,"150,642"
27147,"36,576"
27149,"9,726"
27151,"9,783"
27153,"24,895"
27155,"3,558"
27157,"21,676"
27159,"13,843"
27161,"19,136"
27163,"238,136"
27165,"11,211"
27167,"6,576"
27169,"51,461"
27171,"124,700"
27173,"10,438"
28001,"32,297"
28003,"37,057"
28005,"13,131"
28007,"19,564"
28009,"8,729"
28011,"34,145"
28013,"14,962"
28015,"10,597"
28017,"17,392"
28019,"8,547"
28021,"9,604"
28023,"16,732"
28025,"20,634"
28027,"26,151"
28029,"29,449"
28031,"19,568"
28033,"161,252"
28035,"74,934"
28037,"8,118"
28039,"22,578"
28041,"14,400"
28043,"21,906"
28045,"43,929"
28047,"187,105"
28049,"245,285"
28051,"19,198"
28053,"9,375"
28055,"1,406"
28057,"23,401"
28059,"139,668"
28061,"17,062"
28063,"7,726"
28065,"12,487"
28067,"67,761"
28069,"10,456"
28071,"47,351"
28073,"55,658"
28075,"80,261"
28077,"12,929"
28079,"23,805"
28081,"82,910"
28083,"32,317"
28085,"34,869"
28087,"59,779"
28089,"95,203"
28091,"27,088"
28093,"37,144"
